dataset_id,dataset,label,description
1,judges,Data on CJEU judges,"This dataset includes data on all judges, Advocate General, and registrars at the Court of Justice (1952-2022), the General Court (1989-2022), and the Civil Service Tribunal (2005-2016). There is one observation per individual who has served on the Court. The dataset includes each individual's first and last name, their last name using only ASCII characters (to avoid character-encoding problems), a label for each individual (for making visualizations) that differentiates between judges with the same last name, their member state, and their gender. The dataset also indicates the positions that each individual has held at the Court and the start date and end date for each position."
2,judge_backgrounds,Data on the backgrounds of CJEU judges,"This dataset includes data on professional backgrounds of all judges at the Court of Justice (1953-2021) and the General Court (1989-2021). The sources of the data are the judges' official biographies, which are published online by the Court. There is one observation per biographical item per judge. The dataset indicates whether each item relates to the judge's education, the judge's prior professional experience, or some other category of biographical information (such as membership in a professional society or professional accomplishments). For items related to a judge's professional experience, the dataset indicates whether the judge was a judge (at a different court), a lawyer, a civil servant, an academic, or a politician. For items related to prior experience as a judge, the dataset indicates whether the court was a lower court, a high court, the CJEU, or another international court."
