"judge_id","full_name","first_name","last_name","last_name_latin","last_name_label","last_name_latin_label","member_state","birth_year","female","judge_court_of_justice","judge_general_court","judge_civil_service_tribunal","advocate_general","current_member","count_positions","nonconsecutive_positions","start_date","end_date","start_date_court_of_justice","end_date_court_of_justice","start_date_general_court","end_date_general_court","start_date_civil_service_tribunal","end_date_civil_service_tribunal","start_date_advocate_general","end_date_advocate_general"
"J:0101","Louis Delvaux","Louis","Delvaux","Delvaux","Delvaux","Delvaux","Belgium",1895,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1952-12-04,1958-10-07,1952-12-04,1958-10-07,NA,NA,NA,NA,NA,NA
"J:0102","Josse Mertens de Wilmars","Josse","Mertens de Wilmars","Mertens de Wilmars","Mertens de Wilmars","Mertens de Wilmars","Belgium",1912,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1967-10-09,1984-04-10,1967-10-09,1984-04-10,NA,NA,NA,NA,NA,NA
"J:0103","René Joliet","René","Joliet","Joliet","Joliet","Joliet","Belgium",1938,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1984-04-10,1995-07-15,1984-04-10,1995-07-15,NA,NA,NA,NA,NA,NA
"J:0104","Walter Van Gerven","Walter","Van Gerven","Van Gerven","Van Gerven","Van Gerven","Belgium",1935,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,1988-10-07,1994-10-06,NA,NA,NA,NA,NA,NA,1988-10-07,1994-10-06
"J:0105","Koen Lenaerts","Koen","Lenaerts","Lenaerts","Lenaerts","Lenaerts","Belgium",1954,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,2,FALSE,1989-09-25,NA,2003-10-07,NA,1989-09-25,2003-10-06,NA,NA,NA,NA
"J:0106","Melchior Wathelet","Melchior","Wathelet","Wathelet","Wathelet","Wathelet","Belgium",1949,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,TRUE,1995-09-08,2018-10-08,1995-09-08,2003-10-06,NA,NA,NA,NA,2012-10-08,2018-10-08
"J:0107","Franklin Dehousse","Franklin","Dehousse","Dehousse","Dehousse","Dehousse","Belgium",1959,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,2003-10-07,2016-08-31,NA,NA,2003-10-07,2016-08-31,NA,NA,NA,NA
"J:0108","Sean Van Raepenbusch","Sean","Van Raepenbusch","Van Raepenbusch","Van Raepenbusch","Van Raepenbusch","Belgium",1956,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,2005-10-06,2016-08-31,NA,NA,NA,NA,2005-10-06,2016-08-31,NA,NA
"J:0109","Paul Nihoul","Paul","Nihoul","Nihoul","Nihoul","Nihoul","Belgium",1963,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,2016-09-01,NA,NA,NA,2016-09-01,NA,NA,NA,NA,NA
"J:0110","Geert De Baere","Geert","De Baere","De Baere","De Baere","De Baere","Belgium",1979,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,2017-10-04,NA,NA,NA,2017-10-04,NA,NA,NA,NA,NA
"J:0201","Maurice Lagrange","Maurice","Lagrange","Lagrange","Lagrange","Lagrange","France",1900,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,1952-12-04,1964-10-08,NA,NA,NA,NA,NA,NA,1952-12-04,1964-10-08
"J:0202","Jacques Rueff","Jacques","Rueff","Rueff","Rueff","Rueff","France",1896,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1952-12-04,1962-05-18,1952-12-04,1962-05-18,NA,NA,NA,NA,NA,NA
"J:0203","Robert Lecourt","Robert","Lecourt","Lecourt","Lecourt","Lecourt","France",1908,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1962-05-18,1976-10-06,1962-05-18,1976-10-06,NA,NA,NA,NA,NA,NA
"J:0204","Joseph Gand","Joseph","Gand","Gand","Gand","Gand","France",1913,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,1964-10-08,1970-10-06,NA,NA,NA,NA,NA,NA,1964-10-08,1970-10-06
"J:0205","Alain Louis Dutheillet de Lamothe","Alain Louis","Dutheillet de Lamothe","Dutheillet de Lamothe","Dutheillet de Lamothe","Dutheillet de Lamothe","France",1919,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,1970-10-07,1972-01-02,NA,NA,NA,NA,NA,NA,1970-10-07,1972-01-02
"J:0206","Henri Mayras","Henri","Mayras","Mayras","Mayras","Mayras","France",1920,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,1972-03-22,1981-03-18,NA,NA,NA,NA,NA,NA,1972-03-22,1981-03-18
"J:0207","Adolphe Touffait","Adolphe","Touffait","Touffait","Touffait","Touffait","France",1907,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1976-10-14,1982-10-06,1976-10-14,1982-10-06,NA,NA,NA,NA,NA,NA
"J:0208","Simone Rozès","Simone","Rozès","Rozes","Rozès","Rozes","France",1920,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,1981-03-18,1984-02-13,NA,NA,NA,NA,NA,NA,1981-03-18,1984-02-13
"J:0209","Fernand Grévisse","Fernand","Grévisse","Grevisse","Grévisse","Grevisse","France",1924,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,TRUE,1981-04-01,1994-10-06,1981-04-01,1994-10-06,NA,NA,NA,NA,NA,NA
"J:0210","Yves Galmot","Yves","Galmot","Galmot","Galmot","Galmot","France",1931,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1982-10-07,1988-10-06,1982-10-07,1988-10-06,NA,NA,NA,NA,NA,NA
"J:0211","Marco Darmon","Marco","Darmon","Darmon","Darmon","Darmon","France",1930,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,1984-02-13,1994-10-06,NA,NA,NA,NA,NA,NA,1984-02-13,1994-10-06
"J:0212","Jacques Biancarelli","Jacques","Biancarelli","Biancarelli","Biancarelli","Biancarelli","France",1948,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,1989-09-01,1995-08-31,NA,NA,1989-09-01,1995-08-31,NA,NA,NA,NA
"J:0213","Philippe Léger","Philippe","Léger","Leger","Léger","Leger","France",1938,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,1994-10-07,2006-10-06,NA,NA,NA,NA,NA,NA,1994-10-07,2006-10-06
"J:0214","Jean-Pierre Puissochet","Jean-Pierre","Puissochet","Puissochet","Puissochet","Puissochet","France",1936,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1994-10-07,2006-10-06,1994-10-07,2006-10-06,NA,NA,NA,NA,NA,NA
"J:0215","André Potocki","André","Potocki","Potocki","Potocki","Potocki","France",1950,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,1995-09-01,2001-08-31,NA,NA,1995-09-01,2001-08-31,NA,NA,NA,NA
"J:0216","Hubert Legal","Hubert","Legal","Legal","Legal","Legal","France",1954,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,2001-09-01,2007-08-31,NA,NA,2001-09-01,2007-08-31,NA,NA,NA,NA
"J:0217","Stéphane Gervasoni","Stéphane","Gervasoni","Gervasoni","Gervasoni","Gervasoni","France",1967,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,2,TRUE,2005-10-01,NA,NA,NA,2013-09-01,NA,2005-10-01,2011-09-30,NA,NA
"J:0218","Jean-Claude Bonichot","Jean-Claude","Bonichot","Bonichot","Bonichot","Bonichot","France",1955,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,2006-10-07,NA,2006-10-07,NA,NA,NA,NA,NA,NA,NA
"J:0219","Yves Bot","Yves","Bot","Bot","Bot","Bot","France",1947,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,2006-10-07,2019-06-09,NA,NA,NA,NA,NA,NA,2006-10-07,2019-06-09
"J:0220","Laurent Truchot","Laurent","Truchot","Truchot","Truchot","Truchot","France",1962,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,TRUE,2007-09-01,NA,NA,NA,2007-09-01,NA,NA,NA,NA,NA
"J:0221","Jean Richard de la Tour","Jean Richard","de la Tour","de la Tour","de la Tour","de la Tour","France",1959,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,FALSE,2020-03-23,NA,NA,NA,NA,NA,NA,NA,2020-03-23,NA
"J:0301","Otto Riese","Otto","Riese","Riese","Riese","Riese","Germany",1894,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1952-12-04,1963-01-24,1952-12-04,1963-01-24,NA,NA,NA,NA,NA,NA
"J:0302","Karl Roemer","Karl","Roemer","Roemer","Roemer","Roemer","Germany",1899,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,1953-10-01,1973-10-01,NA,NA,NA,NA,NA,NA,1953-10-01,1973-10-01
