"iuropa_judge_id","last_name_label","brekke_judge_id"
"J:1902","Juhász",1301
"J:1903","Csehi",1303
"J:1904","Berke",1304
"J:2001","Labucka",1602
"J:2002","Levits",1601
"J:2003","Reine",1603
"J:2004","Zilgalvis",NA
"J:2005","Medina",NA
"J:2006","Ziemele",1604
"J:2101","Kūris",1701
"J:2102","Vadapalas",1702
"J:2103","Jarašiūnas",1703
"J:2104","Bieliūnas",1704
"J:2105","Valančius",1705
"J:2106","Jarukaitis",1706
"J:2107","Norkus",1707
"J:2201","Borg Barthet",1901
"J:2202","Cremona",1902
"J:2203","Buttigieg",1903
"J:2204","Xuereb",1904
"J:2205","Frendo",1905
"J:2301","Makarczyk",2101
"J:2302","Wiszniewska-Białecka",2102
"J:2303","Boruta",2107
"J:2304","Safjan",2103
"J:2305","Szpunar",2106
"J:2306","Półtorak",2104
"J:2307","Kowalik-Bańczyk",2105
"J:2401","Klučka",2401
"J:2402","Šváby",2402
"J:2403","Mazák",2404
"J:2404","Schwarcz",2403
"J:2405","Gavalec",NA
"J:2501","Ilešič",2501
"J:2502","Trstenjak",2502
"J:2503","Prek",2503
"J:2504","Brkan",NA
"J:2601","Arabadjiev",301
"J:2602","Tchipev",302
"J:2603","Kancheva",303
"J:2604","Kornezov",304
"J:2605","Tanchev",305
"J:2701","Ciucă",2302
"J:2702","Toader",2301
"J:2703","Popescu",2303
"J:2704","Spineanu-Matei",2304
"J:2705","Stancu",2305
"J:2801","Rodin",401
"J:2802","Tomljenović",402
"J:2803","Perišin",403
"J:2804","Ćapeta",NA
