key_id,old_judge_id,judge_id,full_name,first_name,last_name,last_name_latin,member_state_id,member_state,member_state_code,birth_year,gender_id,gender,female,judge_court_of_justice,judge_general_court,judge_civil_service_tribunal,advocate_general,count_positions,status,non_consecutive,start_date,end_date,start_date_court_of_justice,end_date_court_of_justice,start_date_general_court,end_date_general_court,start_date_civil_service_tribunal,end_date_civil_service_tribunal,start_date_advocate_general,end_date_advocate_general
29,1019,220,Yves Bot,Yves,Bot,Bot,2,France,FR,1947,2,Male,0,0,0,0,1,1,Former AG,0,2006-10-07,2019-06-09,,,,,,,2006-10-07,2019-06-09
30,1011,221,Laurent Truchot,Laurent,Truchot,Truchot,2,France,FR,1962,2,Male,0,0,1,0,0,1,Current GC judge,1,2007-09-01,present,,,2007-09-01,present,,,,
31,1022,222,Jean Richard de la Tour,Jean Richard,de la Tour,de la Tour,2,France,FR,1959,2,Male,0,0,0,0,1,1,Current AG,0,2020-03-23,present,,,,,,,2020-03-23,present
32,1101,301,Otto Riese,Otto,Riese,Riese,3,Germany,DE,1894,2,Male,0,1,0,0,0,1,Former CJ judge,0,1952-12-04,1963-01-24,1952-12-04,1963-01-24,,,,,,
33,1113,302,Karl Roemer,Karl,Roemer,Roemer,3,Germany,DE,1899,2,Male,0,0,0,0,1,1,Former AG,0,1953-10-01,1973-10-01,,,,,,,1953-10-01,1973-10-01
34,1102,303,Walter Strauss,Walter,Strauss,Strauss,3,Germany,DE,1900,2,Male,0,1,0,0,0,1,Former CJ judge,0,1963-02-06,1970-10-06,1963-02-06,1970-10-06,,,,,,
35,1103,304,Hans Kutscher,Hans,Kutscher,Kutscher,3,Germany,DE,1911,2,Male,0,1,0,0,0,1,Former CJ judge,0,1970-10-07,1980-10-30,1970-10-07,1980-10-30,,,,,,
36,1114,305,Gerhard Reischl,Gerhard,Reischl,Reischl,3,Germany,DE,1918,2,Male,0,0,0,0,1,1,Former AG,0,1973-10-09,1984-01-11,,,,,,,1973-10-09,1984-01-11
37,1104,306,Ulrich Everling,Ulrich,Everling,Everling,3,Germany,DE,1925,2,Male,0,1,0,0,0,1,Former CJ judge,0,1980-10-30,1988-10-06,1980-10-30,1988-10-06,,,,,,
38,1105,307,Kai Bahlmann,Kai,Bahlmann,Bahlmann,3,Germany,DE,1927,2,Male,0,1,0,0,0,1,Former CJ judge,0,1982-10-07,1988-10-06,1982-10-07,1988-10-06,,,,,,
39,1115,308,Carl Otto Lenz,Carl Otto,Lenz,Lenz,3,Germany,DE,1930,2,Male,0,0,0,0,1,1,Former AG,0,1984-01-11,1997-10-06,,,,,,,1984-01-11,1997-10-06
40,1106,309,Manfred Zuleeg,Manfred,Zuleeg,Zuleeg,3,Germany,DE,1935,2,Male,0,1,0,0,0,1,Former CJ judge,0,1988-10-07,1994-10-06,1988-10-07,1994-10-06,,,,,,
41,1107,310,Heinrich Kirschner,Heinrich,Kirschner,Kirschner,3,Germany,DE,1938,2,Male,0,0,1,0,0,1,Former GC judge,0,1989-09-01,1997-02-06,,,1989-09-01,1997-02-06,,,,
42,1108,311,Günter Hirsch,Günter,Hirsch,Hirsch,3,Germany,DE,1943,2,Male,0,1,0,0,0,1,Former CJ judge,0,1994-10-07,2000-07-14,1994-10-07,2000-07-14,,,,,,
43,1109,312,Jörg Pirrung,Jörg,Pirrung,Pirrung,3,Germany,DE,1940,2,Male,0,0,1,0,0,1,Former GC judge,0,1997-06-11,2007-08-31,,,1997-06-11,2007-08-31,,,,
44,1116,313,Siegbert Alber,Siegbert,Alber,Alber,3,Germany,DE,1936,2,Male,0,0,0,0,1,1,Former AG,0,1997-10-07,2003-10-06,,,,,,,1997-10-07,2003-10-06
45,1110,314,Ninon Colneric,Ninon,Colneric,Colneric,3,Germany,DE,1948,1,Female,1,1,0,0,0,1,Former CJ judge,0,2000-07-15,2006-10-06,2000-07-15,2006-10-06,,,,,,
46,1117,315,Juliane Kokott,Juliane,Kokott,Kokott,3,Germany,DE,1957,1,Female,1,0,0,0,1,1,Current AG,0,2003-10-07,present,,,,,,,2003-10-07,present
47,1118,316,Horstpeter Kreppel,Horstpeter,Kreppel,Kreppel,3,Germany,DE,1945,2,Male,0,0,0,1,0,1,Former CST judge,0,2005-10-06,2016-04-13,,,,,2005-10-06,2016-04-13,,
48,1111,318,Thomas von Danwitz,Thomas,von Danwitz,von Danwitz,3,Germany,DE,1962,2,Male,0,1,0,0,0,1,Current CJ judge,0,2006-10-07,present,2006-10-07,present,,,,,,
49,1112,319,Alfred Dittrich,Alfred,Dittrich,Dittrich,3,Germany,DE,1950,2,Male,0,0,1,0,0,1,Former GC judge,0,2007-09-01,2019-09-26,,,2007-09-01,2019-09-26,,,,
50,1120,320,Johannes Christoph Laitenberger,Johannes Christoph,Laitenberger,Laitenberger,3,Germany,DE,1964,2,Male,0,0,1,0,0,1,Current GC judge,0,2019-09-26,present,,,2019-09-26,present,,,,
51,1121,321,Gabriele Steinfatt,Gabriele,Steinfatt,Steinfatt,3,Germany,DE,1977,1,Female,1,0,1,0,0,1,Current GC judge,0,2019-09-26,present,,,2019-09-26,present,,,,
52,1501,401,Massimo Pilotti,Massimo,Pilotti,Pilotti,4,Italy,IT,1879,2,Male,0,1,0,0,0,1,Former CJ judge,0,1952-12-04,1958-10-06,1952-12-04,1958-10-06,,,,,,
53,1503,402,Nicola Catalano,Nicola,Catalano,Catalano,4,Italy,IT,1910,2,Male,0,1,0,0,0,1,Former CJ judge,0,1958-10-07,1962-01-01,1958-10-07,1962-01-01,,,,,,
54,1502,403,Rino Rossi,Rino,Rossi,Rossi,4,Italy,IT,1889,2,Male,0,1,0,0,0,1,Former CJ judge,0,1958-10-07,1964-10-06,1958-10-07,1964-10-06,,,,,,
55,1504,404,Alberto Trabucchi,Alberto,Trabucchi,Trabucchi,4,Italy,IT,1907,2,Male,0,1,0,0,1,2,Former CJ judge; Former AG,0,1962-03-08,1976-10-06,1962-03-08,1972-12-12,,,,,1973-01-09,1976-10-06
