full_name,first_name,last_name,last_name_latin,last_name_label,last_name_latin_label,member_state_id,member_state,member_state_code,birth_year,gender_id,gender,female,judge_court_of_justice,judge_general_court,judge_civil_service_tribunal,advocate_general,registrar_court_of_justice,registrar_general_court,registrar_civil_service_tribunal,current_status,count_positions,nonconsecutive_positions,start_date,end_date,start_date_judge_court_of_justice,end_date_judge_court_of_justice,start_date_judge_general_court,end_date_judge_general_court,start_date_judge_civil_service_tribunal,end_date_judge_civil_service_tribunal,start_date_advocate_general,end_date_advocate_general
Robert Lecourt,Robert,Lecourt,Lecourt,Lecourt,Lecourt,2,France,FR,1908,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1962-05-18,1976-10-06,1962-05-18,1976-10-06,,,,,,
Hubert Legal,Hubert,Legal,Legal,Legal,Legal,2,France,FR,1954,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,2001-09-01,2007-08-31,,,2001-09-01,2007-08-31,,,,
Philippe Léger,Philippe,Léger,Leger,Léger,Leger,2,France,FR,1938,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,1994-10-07,2006-10-06,,,,,,,1994-10-07,2006-10-06
Henri Mayras,Henri,Mayras,Mayras,Mayras,Mayras,2,France,FR,1920,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,1972-03-22,1981-03-18,,,,,,,1972-03-22,1981-03-18
André Potocki,André,Potocki,Potocki,Potocki,Potocki,2,France,FR,1950,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,1995-09-01,2001-08-31,,,1995-09-01,2001-08-31,,,,
Jean-Pierre Puissochet,Jean-Pierre,Puissochet,Puissochet,Puissochet,Puissochet,2,France,FR,1936,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1994-10-07,2006-10-06,1994-10-07,2006-10-06,,,,,,
Simone Rozès,Simone,Rozès,Rozes,Rozès,Rozes,2,France,FR,1920,1,Female,1,0,0,0,1,0,0,0,Former AG,1,0,1981-03-18,1984-02-13,,,,,,,1981-03-18,1984-02-13
Jacques Rueff,Jacques,Rueff,Rueff,Rueff,Rueff,2,France,FR,1896,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1952-12-04,1962-05-18,1952-12-04,1962-05-18,,,,,,
Adolphe Touffait,Adolphe,Touffait,Touffait,Touffait,Touffait,2,France,FR,1907,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1976-10-14,1982-10-06,1976-10-14,1982-10-06,,,,,,
Laurent Truchot,Laurent,Truchot,Truchot,Truchot,Truchot,2,France,FR,1962,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,1,2007-09-01,Present,,,2007-09-01,Present,,,,
Siegbert Alber,Siegbert,Alber,Alber,Alber,Alber,3,Germany,DE,1936,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,1997-10-07,2003-10-06,,,,,,,1997-10-07,2003-10-06
Kai Bahlmann,Kai,Bahlmann,Bahlmann,Bahlmann,Bahlmann,3,Germany,DE,1927,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1982-10-07,1988-10-06,1982-10-07,1988-10-06,,,,,,
Ninon Colneric,Ninon,Colneric,Colneric,Colneric,Colneric,3,Germany,DE,1948,1,Female,1,1,0,0,0,0,0,0,Former CJ judge,1,0,2000-07-15,2006-10-06,2000-07-15,2006-10-06,,,,,,
Alfred Dittrich,Alfred,Dittrich,Dittrich,Dittrich,Dittrich,3,Germany,DE,1950,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,2007-09-01,2019-09-26,,,2007-09-01,2019-09-26,,,,
Ulrich Everling,Ulrich,Everling,Everling,Everling,Everling,3,Germany,DE,1925,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1980-10-30,1988-10-06,1980-10-30,1988-10-06,,,,,,
Waltraud Hakenberg,Waltraud,Hakenberg,Hakenberg,Hakenberg,Hakenberg,3,Germany,DE,1955,1,Female,1,0,0,0,0,0,0,1,Former CST registrar,1,0,2005-11-30,2016-08-31,,,,,,,,
Günter Hirsch,Günter,Hirsch,Hirsch,Hirsch,Hirsch,3,Germany,DE,1943,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1994-10-07,2000-07-14,1994-10-07,2000-07-14,,,,,,
Hans Jung,Hans,Jung,Jung,Jung,Jung,3,Germany,DE,1944,2,Male,0,0,0,0,0,0,1,0,Former GC registrar,1,0,1989-10-10,2005-10-05,,,,,,,,
Heinrich Kirschner,Heinrich,Kirschner,Kirschner,Kirschner,Kirschner,3,Germany,DE,1938,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,1989-09-01,1997-02-06,,,1989-09-01,1997-02-06,,,,
Juliane Kokott,Juliane,Kokott,Kokott,Kokott,Kokott,3,Germany,DE,1957,1,Female,1,0,0,0,1,0,0,0,Current AG,1,0,2003-10-07,Present,,,,,,,2003-10-07,Present
Horstpeter Kreppel,Horstpeter,Kreppel,Kreppel,Kreppel,Kreppel,3,Germany,DE,1945,2,Male,0,0,0,1,0,0,0,0,Former CST judge,1,0,2005-10-06,2016-04-13,,,,,2005-10-06,2016-04-13,,
Hans Kutscher,Hans,Kutscher,Kutscher,Kutscher,Kutscher,3,Germany,DE,1911,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1970-10-07,1980-10-30,1970-10-07,1980-10-30,,,,,,
Johannes Christoph Laitenberger,Johannes Christoph,Laitenberger,Laitenberger,Laitenberger,Laitenberger,3,Germany,DE,1964,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2019-09-26,Present,,,2019-09-26,Present,,,,
Carl Otto Lenz,Carl Otto,Lenz,Lenz,Lenz,Lenz,3,Germany,DE,1930,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,1984-01-11,1997-10-06,,,,,,,1984-01-11,1997-10-06
Jörg Pirrung,Jörg,Pirrung,Pirrung,Pirrung,Pirrung,3,Germany,DE,1940,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,1997-06-11,2007-08-31,,,1997-06-11,2007-08-31,,,,
Gerhard Reischl,Gerhard,Reischl,Reischl,Reischl,Reischl,3,Germany,DE,1918,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,1973-10-09,1984-01-11,,,,,,,1973-10-09,1984-01-11
Otto Riese,Otto,Riese,Riese,Riese,Riese,3,Germany,DE,1894,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1952-12-04,1963-01-24,1952-12-04,1963-01-24,,,,,,
Karl Roemer,Karl,Roemer,Roemer,Roemer,Roemer,3,Germany,DE,1899,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,1953-10-01,1973-10-01,,,,,,,1953-10-01,1973-10-01
Gabriele Steinfatt,Gabriele,Steinfatt,Steinfatt,Steinfatt,Steinfatt,3,Germany,DE,1977,1,Female,1,0,1,0,0,0,0,0,Current GC judge,1,0,2019-09-26,Present,,,2019-09-26,Present,,,,
Walter Strauss,Walter,Strauss,Strauss,Strauss,Strauss,3,Germany,DE,1900,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1963-02-06,1970-10-06,1963-02-06,1970-10-06,,,,,,
Thomas von Danwitz,Thomas,von Danwitz,von Danwitz,von Danwitz,von Danwitz,3,Germany,DE,1962,2,Male,0,1,0,0,0,0,0,0,Current CJ judge,1,0,2006-10-07,Present,2006-10-07,Present,,,,,,
Manfred Zuleeg,Manfred,Zuleeg,Zuleeg,Zuleeg,Zuleeg,3,Germany,DE,1935,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1988-10-07,1994-10-06,1988-10-07,1994-10-06,,,,,,
Guido Berardis,Guido,Berardis,Berardis,Berardis,Berardis,4,Italy,IT,1950,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,2012-09-07,2019-09-26,,,2012-09-07,2019-09-26,,,,
Giacinto Bosco,Giacinto,Bosco,Bosco,Bosco,Bosco,4,Italy,IT,1905,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1976-10-07,1988-10-06,1976-10-07,1988-10-06,,,,,,
Francesco Capotorti,Francesco,Capotorti,Capotorti,Capotorti,Capotorti,4,Italy,IT,1925,2,Male,0,1,0,0,1,0,0,0,Former CJ judge; Former AG,2,0,1976-01-20,1982-10-06,1976-01-20,1976-10-06,,,,,1976-10-07,1982-10-06
Nicola Catalano,Nicola,Catalano,Catalano,Catalano,Catalano,4,Italy,IT,1910,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1958-10-07,1962-01-01,1958-10-07,1962-01-01,,,,,,
Antonio Mario La Pergola,Antonio Mario,La Pergola,La Pergola,La Pergola,La Pergola,4,Italy,IT,1931,2,Male,0,1,0,0,1,0,0,0,Former CJ judge; Former AG,2,1,1994-10-07,2006-05-03,1994-10-07,2006-05-03,,,,,1995-01-01,1999-12-14
Giuseppe Federico Mancini,Giuseppe Federico,Mancini,Mancini,Mancini,Mancini,4,Italy,IT,1927,2,Male,0,1,0,0,1,0,0,0,Former CJ judge; Former AG,2,0,1982-10-07,1999-07-21,1988-10-07,1999-07-21,,,,,1982-10-07,1988-10-06
Roberto Mastroianni,Roberto,Mastroianni,Mastroianni,Mastroianni,Mastroianni,4,Italy,IT,1964,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2019-09-26,Present,,,2019-09-26,Present,,,,
Paolo Mengozzi,Paolo,Mengozzi,Mengozzi,Mengozzi,Mengozzi,4,Italy,IT,1938,2,Male,0,0,1,0,1,0,0,0,Former GC judge; Former AG,2,0,1998-03-04,2018-10-08,,,1998-03-04,2006-05-03,,,2006-05-04,2018-10-08
Enzo Moavero Milanesi,Enzo,Moavero Milanesi,Moavero Milanesi,Moavero Milanesi,Moavero Milanesi,4,Italy,IT,1954,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,2006-05-03,2011-11-15,,,2006-05-03,2011-11-15,,,,
Riccardo Monaco,Riccardo,Monaco,Monaco,Monaco,Monaco,4,Italy,IT,1909,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1964-10-08,1975-10-07,1964-10-08,1975-10-07,,,,,,
Ezio Perillo,Ezio,Perillo,Perillo,Perillo,Perillo,4,Italy,IT,1950,2,Male,0,0,1,1,0,0,0,0,Former GC judge; Former CST judge,2,0,2011-10-06,2016-09-19,,,2016-09-19,2019-09-26,2011-10-06,2016-08-31,,
Massimo Pilotti,Massimo,Pilotti,Pilotti,Pilotti,Pilotti,4,Italy,IT,1879,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1952-12-04,1958-10-06,1952-12-04,1958-10-06,,,,,,
Giovanni Pitruzzella,Giovanni,Pitruzzella,Pitruzzella,Pitruzzella,Pitruzzella,4,Italy,IT,1959,2,Male,0,0,0,0,1,0,0,0,Current AG,1,0,2018-10-08,Present,,,,,,,2018-10-08,Present
Ornella Porchia,Ornella,Porchia,Porchia,Porchia,Porchia,4,Italy,IT,1966,1,Female,1,0,1,0,0,0,0,0,Current GC judge,1,0,2019-09-26,Present,,,2019-09-26,Present,,,,
Lucia Serena Rossi,Lucia Serena,Rossi,Rossi,"Rossi, L.","Rossi, L.",4,Italy,IT,1958,1,Female,1,1,0,0,0,0,0,0,Current CJ judge,1,0,2018-10-08,Present,2018-10-08,Present,,,,,,
Rino Rossi,Rino,Rossi,Rossi,"Rossi, R.","Rossi, R.",4,Italy,IT,1889,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1958-10-07,1964-10-06,1958-10-07,1964-10-06,,,,,,
Antonio Saggio,Antonio,Saggio,Saggio,Saggio,Saggio,4,Italy,IT,1934,2,Male,0,0,1,0,1,0,0,0,Former GC judge; Former AG,2,0,1989-09-01,2000-10-06,,,1989-09-01,1998-03-04,,,1998-03-05,2000-10-06
Giuseppe Tesauro,Giuseppe,Tesauro,Tesauro,Tesauro,Tesauro,4,Italy,IT,1942,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,1988-10-07,1998-03-04,,,,,,,1988-10-07,1998-03-04
Antonio Tizzano,Antonio,Tizzano,Tizzano,Tizzano,Tizzano,4,Italy,IT,1940,2,Male,0,1,0,0,1,0,0,0,Former CJ judge; Former AG,2,0,2000-10-07,2018-10-08,2006-05-04,2018-10-08,,,,,2000-10-07,2006-05-03
Alberto Trabucchi,Alberto,Trabucchi,Trabucchi,Trabucchi,Trabucchi,4,Italy,IT,1907,2,Male,0,1,0,0,1,0,0,0,Former CJ judge; Former AG,2,0,1962-03-08,1976-10-06,1962-03-08,1972-12-12,,,,,1973-01-09,1976-10-06
François Biltgen,François,Biltgen,Biltgen,Biltgen,Biltgen,5,Luxembourg,LU,1958,2,Male,0,1,0,0,0,0,0,0,Current CJ judge,1,0,2013-10-06,Present,2013-10-06,Present,,,,,,
Charles Léon Hammes,Charles Léon,Hammes,Hammes,Hammes,Hammes,5,Luxembourg,LU,1898,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1952-12-04,1967-10-09,1952-12-04,1967-10-09,,,,,,
Marc Jaeger,Marc,Jaeger,Jaeger,Jaeger,Jaeger,5,Luxembourg,LU,1954,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,1996-07-11,Present,,,1996-07-11,Present,,,,
Jean-Jacques Kasel,Jean-Jacques,Kasel,Kasel,Kasel,Kasel,5,Luxembourg,LU,1946,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,2008-01-15,2013-10-06,2008-01-15,2013-10-06,,,,,,
Jean Mischo,Jean,Mischo,Mischo,Mischo,Mischo,5,Luxembourg,LU,1938,2,Male,0,0,0,0,1,0,0,0,Former AG,1,1,1986-01-13,2003-10-06,,,,,,,1986-01-13,2003-10-06
Pierre Pescatore,Pierre,Pescatore,Pescatore,Pescatore,Pescatore,5,Luxembourg,LU,1919,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1967-10-09,1985-10-06,1967-10-09,1985-10-06,,,,,,
Romain Schintgen,Romain,Schintgen,Schintgen,Schintgen,Schintgen,5,Luxembourg,LU,1939,2,Male,0,1,1,0,0,0,0,0,Former CJ judge; Former GC judge,2,0,1989-09-25,2008-01-14,1996-07-12,2008-01-14,1989-09-25,1996-07-11,,,,
Fernand Schockweiler,Fernand,Schockweiler,Schockweiler,Schockweiler,Schockweiler,5,Luxembourg,LU,1935,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1985-10-07,1996-06-01,1985-10-07,1996-06-01,,,,,,
Dean Spielmann,Dean,Spielmann,Spielmann,Spielmann,Spielmann,5,Luxembourg,LU,1962,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2016-04-13,Present,,,2016-04-13,Present,,,,
René Barents,René,Barents,Barents,Barents,Barents,6,Netherlands,NL,1951,2,Male,0,0,1,1,0,0,0,0,Current GC judge; Former CST judge,2,0,2011-10-06,Present,,,2016-09-01,Present,2011-10-06,2016-08-31,,
Cornelis Paulus Briët,Cornelis Paulus,Briët,Briet,Briët,Briet,6,Netherlands,NL,1944,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,1989-09-01,1998-08-31,,,1989-09-01,1998-08-31,,,,
Andreas Matthias Donner,Andreas Matthias,Donner,Donner,Donner,Donner,6,Netherlands,NL,1918,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1958-10-07,1979-04-01,1958-10-07,1979-04-01,,,,,,
Leendert Adrie Geelhoed,Leendert Adrie,Geelhoed,Geelhoed,Geelhoed,Geelhoed,6,Netherlands,NL,1942,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,2000-10-07,2006-10-06,,,,,,,2000-10-07,2006-10-06
Paul Joan George Kapteyn,Paul Joan George,Kapteyn,Kapteyn,Kapteyn,Kapteyn,6,Netherlands,NL,1928,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1990-03-29,2000-10-06,1990-03-29,2000-10-06,,,,,,
Thymen Koopmans,Thymen,Koopmans,Koopmans,Koopmans,Koopmans,6,Netherlands,NL,1929,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1979-04-01,1990-03-29,1979-04-01,1990-03-29,,,,,,
Arjen Meij,Arjen,Meij,Meij,Meij,Meij,6,Netherlands,NL,1944,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,1992-09-01,2010-08-31,,,1992-09-01,2010-08-31,,,,
Alexandra Prechal,Alexandra,Prechal,Prechal,Prechal,Prechal,6,Netherlands,NL,1959,1,Female,1,1,0,0,0,0,0,0,Current CJ judge,1,0,2010-07-10,Present,2010-07-10,Present,,,,,,
Petrus Serrarens,Petrus,Serrarens,Serrarens,Serrarens,Serrarens,6,Netherlands,NL,1888,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1952-12-04,1958-10-06,1952-12-04,1958-10-06,,,,,,
Christiaan Willem Anton Timmermans,Christiaan Willem Anton,Timmermans,Timmermans,Timmermans,Timmermans,6,Netherlands,NL,1941,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,2000-10-07,2010-07-10,2000-10-07,2010-07-10,,,,,,
Marc van der Woude,Marc,van der Woude,van der Woude,van der Woude,van der Woude,6,Netherlands,NL,1960,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2010-09-01,Present,,,2010-09-01,Present,,,,
Adrianus van Kleffens,Adrianus,van Kleffens,van Kleffens,van Kleffens,van Kleffens,6,Netherlands,NL,1899,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1952-12-04,1958-10-06,1952-12-04,1958-10-06,,,,,,
Pieter verLoren van Themaat,Pieter,verLoren van Themaat,verLoren van Themaat,verLoren van Themaat,verLoren van Themaat,6,Netherlands,NL,1916,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,1981-06-04,1986-01-13,,,,,,,1981-06-04,1986-01-13
Lars Bay Larsen,Lars,Bay Larsen,Bay Larsen,Bay Larsen,Bay Larsen,7,Denmark,DK,1953,2,Male,0,1,0,0,0,0,0,0,Current CJ judge,1,0,2006-01-11,Present,2006-01-11,Present,,,,,,
Ole Due,Ole,Due,Due,Due,Due,7,Denmark,DK,1931,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1979-10-07,1994-10-06,1979-10-07,1994-10-06,,,,,,
Michael Bendik Elmer,Michael Bendik,Elmer,Elmer,Elmer,Elmer,7,Denmark,DK,1949,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,1994-10-07,1997-12-18,,,,,,,1994-10-07,1997-12-18
Sten Frimodt Nielsen,Sten,Frimodt Nielsen,Frimodt Nielsen,Frimodt Nielsen,Frimodt Nielsen,7,Denmark,DK,1963,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2007-09-17,Present,,,2007-09-17,Present,,,,
Claus Christian Gulmann,Claus Christian,Gulmann,Gulmann,Gulmann,Gulmann,7,Denmark,DK,1942,2,Male,0,1,0,0,1,0,0,0,Former CJ judge; Former AG,2,0,1991-10-07,2006-01-10,1994-10-07,2006-01-10,,,,,1991-10-07,1994-10-06
Henrik Saugmandsgaard Øe,Henrik,Saugmandsgaard Øe,Saugmandsgaard Oe,Saugmandsgaard Øe,Saugmandsgaard Oe,7,Denmark,DK,1964,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,2015-10-07,2021-10-07,,,,,,,2015-10-07,2021-10-07
Max Sørensen,Max,Sørensen,Sorensen,Sørensen,Sorensen,7,Denmark,DK,1913,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1973-01-01,1979-10-06,1973-01-01,1979-10-06,,,,,,
Jesper Svenningsen,Jesper,Svenningsen,Svenningsen,Svenningsen,Svenningsen,7,Denmark,DK,1966,2,Male,0,0,1,1,0,0,0,0,Current GC judge; Former CST judge,2,0,2013-10-07,Present,,,2016-09-01,Present,2013-10-07,2016-08-31,,
Bo Vesterdorf,Bo,Vesterdorf,Vesterdorf,Vesterdorf,Vesterdorf,7,Denmark,DK,1945,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,1989-09-01,2007-09-17,,,1989-09-01,2007-09-17,,,,
Donal Patrick Michael Barrington,Donal Patrick Michael,Barrington,Barrington,Barrington,Barrington,8,Ireland,IE,1928,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,1989-09-01,1996-01-10,,,1989-09-01,1996-01-10,,,,
Kieran Bradley,Kieran,Bradley,Bradley,Bradley,Bradley,8,Ireland,IE,1957,2,Male,0,0,0,1,0,0,0,0,Former CST judge,1,0,2011-10-06,2016-08-31,,,,,2011-10-06,2016-08-31,,
Anthony Michael Collins,Anthony Michael,Collins,Collins,Collins,Collins,8,Ireland,IE,1960,2,Male,0,0,1,0,1,0,0,0,Current AG; Former GC judge,2,0,2013-09-16,Present,,,2013-09-16,2021-10-07,,,2021-10-07,Present
John Cooke,John,Cooke,Cooke,Cooke,Cooke,8,Ireland,IE,1944,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,1996-01-10,2008-09-15,,,1996-01-10,2008-09-15,,,,
Nial Fennelly,Nial,Fennelly,Fennelly,Fennelly,Fennelly,8,Ireland,IE,1942,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,1995-01-19,2000-10-06,,,,,,,1995-01-19,2000-10-06
Gerard Hogan,Gerard,Hogan,Hogan,Hogan,Hogan,8,Ireland,IE,1958,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,2018-10-08,2021-10-07,,,,,,,2018-10-08,2021-10-07
