full_name,first_name,last_name,last_name_latin,last_name_label,last_name_latin_label,member_state_id,member_state,member_state_code,birth_year,gender_id,gender,female,judge_court_of_justice,judge_general_court,judge_civil_service_tribunal,advocate_general,registrar_court_of_justice,registrar_general_court,registrar_civil_service_tribunal,current_status,count_positions,nonconsecutive_positions,start_date,end_date,start_date_judge_court_of_justice,end_date_judge_court_of_justice,start_date_judge_general_court,end_date_judge_general_court,start_date_judge_civil_service_tribunal,end_date_judge_civil_service_tribunal,start_date_advocate_general,end_date_advocate_general
Suzanne Kingston,Suzanne,Kingston,Kingston,Kingston,Kingston,8,Ireland,IE,1977,1,Female,1,0,1,0,0,0,0,0,Current GC judge,1,0,2022-01-13,Present,,,2022-01-13,Present,,,,
Colm Mac Eochaidh,Colm,Mac Eochaidh,Mac Eochaidh,Mac Eochaidh,Mac Eochaidh,8,Ireland,IE,1963,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2017-06-08,Present,,,2017-06-08,Present,,,,
John Murray,John,Murray,Murray,Murray,Murray,8,Ireland,IE,1943,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1991-10-07,1999-10-09,1991-10-07,1999-10-09,,,,,,
Aindrias Ó Caoimh,Aindrias,Ó Caoimh,O Caoimh,Ó Caoimh,O Caoimh,8,Ireland,IE,1950,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,2004-10-13,2015-10-06,2004-10-13,2015-10-06,,,,,,
Cearbhall O'Dalaigh,Cearbhall,O'Dalaigh,O'Dalaigh,O'Dalaigh,O'Dalaigh,8,Ireland,IE,1911,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1973-01-01,1974-12-12,1973-01-01,1974-12-12,,,,,,
Kevin O'Higgins,Kevin,O'Higgins,O'Higgins,"O'Higgins, K.","O'Higgins, K.",8,Ireland,IE,1946,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,2008-09-15,2013-08-31,,,2008-09-15,2013-08-31,,,,
Thomas Francis O'Higgins,Thomas Francis,O'Higgins,O'Higgins,"O'Higgins, T.","O'Higgins, T.",8,Ireland,IE,1913,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1985-01-16,1991-10-06,1985-01-16,1991-10-06,,,,,,
Andreas O'Keeffe,Andreas,O'Keeffe,O'Keeffe,O'Keeffe,O'Keeffe,8,Ireland,IE,1912,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1975-12-12,1984-12-31,1975-12-12,1984-12-31,,,,,,
Fidelma O'Kelly Macken,Fidelma,O'Kelly Macken,O'Kelly Macken,O'Kelly Macken,O'Kelly Macken,8,Ireland,IE,1942,1,Female,1,1,0,0,0,0,0,0,Former CJ judge,1,0,1999-10-06,2004-10-13,1999-10-06,2004-10-13,,,,,,
Eugene Regan,Eugene,Regan,Regan,Regan,Regan,8,Ireland,IE,1952,2,Male,0,1,0,0,0,0,0,0,Current CJ judge,1,0,2015-10-07,Present,2015-10-07,Present,,,,,,
Christopher William Bellamy,Christopher William,Bellamy,Bellamy,Bellamy,Bellamy,9,United Kingdom,UK,1946,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,1992-03-10,1999-12-15,,,1992-03-10,1999-12-15,,,,
David Alexander Ogilvy Edward,David Alexander Ogilvy,Edward,Edward,Edward,Edward,9,United Kingdom,UK,1934,2,Male,0,1,1,0,0,0,0,0,Former CJ judge; Former GC judge,2,0,1989-09-25,2004-01-07,1992-03-10,2004-01-07,1989-09-25,1992-03-09,,,,
Ian Stewart Forrester,Ian Stewart,Forrester,Forrester,Forrester,Forrester,9,United Kingdom,UK,1945,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,2015-10-01,2020-01-31,,,2015-10-01,2020-01-31,,,,
Nicholas James Forwood,Nicholas James,Forwood,Forwood,Forwood,Forwood,9,United Kingdom,UK,1948,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,1999-12-02,2015-10-01,,,1999-12-02,2015-10-01,,,,
Paul Heim,Paul,Heim,Heim,Heim,Heim,9,United Kingdom,UK,1932,2,Male,0,0,0,0,0,1,0,0,Formare CJ registrar,1,0,1982-02-10,1988-02-09,,,,,,,,
Francis Geoffrey Jacobs,Francis Geoffrey,Jacobs,Jacobs,Jacobs,Jacobs,9,United Kingdom,UK,1939,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,1988-10-07,2006-01-10,,,,,,,1988-10-07,2006-01-10
Alexander Mackenzie Stuart,Alexander,Mackenzie Stuart,Mackenzie Stuart,Mackenzie Stuart,Mackenzie Stuart,9,United Kingdom,UK,1924,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1973-01-01,1988-10-06,1973-01-01,1988-10-06,,,,,,
Paul John Mahoney,Paul John,Mahoney,Mahoney,Mahoney,Mahoney,9,United Kingdom,UK,1946,2,Male,0,0,0,1,0,0,0,0,Former CST judge,1,0,2005-10-06,2011-10-06,,,,,2005-10-06,2011-10-06,,
Konrad Hermann Theodor Schiemann,Konrad Hermann Theodor,Schiemann,Schiemann,Schiemann,Schiemann,9,United Kingdom,UK,1937,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,2004-01-01,2012-10-06,2004-01-01,2012-10-06,,,,,,
Eleanor Sharpston,Eleanor,Sharpston,Sharpston,Sharpston,Sharpston,9,United Kingdom,UK,1955,1,Female,1,0,0,0,1,0,0,0,Former AG,1,0,2006-01-11,2020-09-10,,,,,,,2006-01-11,2020-09-10
Gordon Slynn,Gordon,Slynn,Slynn,Slynn,Slynn,9,United Kingdom,UK,1930,2,Male,0,1,0,0,1,0,0,0,Former CJ judge; Former AG,2,0,1981-02-26,1992-03-10,1988-10-07,1992-03-10,,,,,1981-02-26,1988-10-06
Christopher Vajda,Christopher,Vajda,Vajda,Vajda,Vajda,9,United Kingdom,UK,1955,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,2012-10-07,2020-01-31,2012-10-07,2020-01-31,,,,,,
Jean-Pierre Warner,Jean-Pierre,Warner,Warner,Warner,Warner,9,United Kingdom,UK,1924,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,1973-01-09,1981-02-26,,,,,,,1973-01-09,1981-02-26
Alexandros Chloros,Alexandros,Chloros,Chloros,Chloros,Chloros,10,Greece,EL,1926,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1981-01-01,1982-11-16,1981-01-01,1982-11-16,,,,,,
Georges Cosmas,Georges,Cosmas,Cosmas,Cosmas,Cosmas,10,Greece,EL,1932,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,1994-10-07,2000-10-06,,,,,,,1994-10-07,2000-10-06
Ioannis Dimitrakopoulos,Ioannis,Dimitrakopoulos,Dimitrakopoulos,Dimitrakopoulos,Dimitrakopoulos,10,Greece,EL,1971,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2022-01-13,Present,,,2022-01-13,Present,,,,
Dimitrios Gratsias,Dimitrios,Gratsias,Gratsias,Gratsias,Gratsias,10,Greece,EL,1957,2,Male,0,1,1,0,0,0,0,0,Current CJ judge; Former GC judge,2,0,2010-10-25,Present,2021-10-07,Present,2010-10-25,2021-10-07,,,,
Constantinos Iliopoulos,Constantinos,Iliopoulos,Iliopoulos,Iliopoulos,Iliopoulos,10,Greece,EL,1948,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2016-04-13,Present,,,2016-04-13,Present,,,,
Krateros Ioannou,Krateros,Ioannou,Ioannou,Ioannou,Ioannou,10,Greece,EL,1935,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1997-10-07,1999-03-10,1997-10-07,1999-03-10,,,,,,
Constantinos Kakouris,Constantinos,Kakouris,Kakouris,Kakouris,Kakouris,10,Greece,EL,1919,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1983-02-16,1997-10-06,1983-02-16,1997-10-06,,,,,,
Andreas Kalogeropoulos,Andreas,Kalogeropoulos,Kalogeropoulos,Kalogeropoulos,Kalogeropoulos,10,Greece,EL,1944,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,1992-09-18,1998-08-31,,,1992-09-18,1998-08-31,,,,
Athanasios Rantos,Athanasios,Rantos,Rantos,Rantos,Rantos,10,Greece,EL,1953,2,Male,0,0,0,0,1,0,0,0,Current AG,1,0,2020-09-10,Present,,,,,,,2020-09-10,Present
Vassilios Skouris,Vassilios,Skouris,Skouris,Skouris,Skouris,10,Greece,EL,1948,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1999-05-26,2015-10-06,1999-05-26,2015-10-06,,,,,,
Haris Tagaras,Haris,Tagaras,Tagaras,Tagaras,Tagaras,10,Greece,EL,1955,2,Male,0,0,0,1,0,0,0,0,Former CST judge,1,0,2005-10-06,2011-10-06,,,,,2005-10-06,2011-10-06,,
Michail Vilaras,Michail,Vilaras,Vilaras,Vilaras,Vilaras,10,Greece,EL,1950,2,Male,0,1,1,0,0,0,0,0,Former CJ judge; Former GC judge,2,1,1998-09-01,2021-10-07,2015-10-07,2021-10-07,1998-09-01,2010-09-01,,,,
Christos Yeraris,Christos,Yeraris,Yeraris,Yeraris,Yeraris,10,Greece,EL,1938,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,1989-09-01,1992-08-31,,,1989-09-01,1992-08-31,,,,
Nuno José Cardoso da Silva Piçarra,Nuno José,Cardoso da Silva Piçarra,Cardoso da Silva Picarra,Cardoso da Silva Piçarra,Cardoso da Silva Picarra,11,Portugal,PT,1957,2,Male,0,1,0,0,0,0,0,0,Current CJ judge,1,0,2018-10-07,Present,2018-10-07,Present,,,,,,
Maria José Costeira,Maria José,Costeira,Costeira,Costeira,Costeira,11,Portugal,PT,1967,1,Female,1,0,1,0,0,0,0,0,Current GC judge,1,0,2016-09-19,Present,,,2016-09-19,Present,,,,
José Luis da Cruz Vilaça,José Luis,da Cruz Vilaça,da Cruz Vilaca,da Cruz Vilaça,da Cruz Vilaca,11,Portugal,PT,1944,2,Male,0,1,1,0,1,0,0,0,Former CJ judge; Former GC judge; Former AG,3,1,1986-01-01,2018-10-08,2012-10-08,2018-10-08,1989-09-01,1995-08-31,,,1986-01-01,1988-10-06
José Narciso da Cunha Rodrigues,José Narciso,da Cunha Rodrigues,da Cunha Rodrigues,da Cunha Rodrigues,da Cunha Rodrigues,11,Portugal,PT,1940,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,2000-10-07,2012-10-06,2000-10-07,2012-10-06,,,,,,
Ricardo da Silva Passos,Ricardo,da Silva Passos,da Silva Passos,da Silva Passos,da Silva Passos,11,Portugal,PT,1953,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2016-09-19,Present,,,2016-09-19,Present,,,,
José Carlos de Carvalho Moitinho de Almeida,José Carlos,de Carvalho Moitinho de Almeida,de Carvalho Moitinho de Almeida,de Carvalho Moitinho de Almeida,de Carvalho Moitinho de Almeida,11,Portugal,PT,1936,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1986-01-01,2000-10-06,1986-01-01,2000-10-06,,,,,,
Rui Manuel Gens de Moura Ramos,Rui Manuel,Gens de Moura Ramos,Gens de Moura Ramos,Gens de Moura Ramos,Gens de Moura Ramos,11,Portugal,PT,1950,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,1995-09-18,2003-03-31,,,1995-09-18,2003-03-31,,,,
Maria Eugénia Martins de Nazaré Ribeiro,Maria Eugénia,Martins de Nazaré Ribeiro,Martins de Nazare Ribeiro,Martins de Nazaré Ribeiro,Martins de Nazare Ribeiro,11,Portugal,PT,1956,1,Female,1,0,1,0,0,0,0,0,Former GC judge,1,0,2003-04-01,2016-08-31,,,2003-04-01,2016-08-31,,,,
Luís Miguel Poiares Pessoa Maduro,Luís Miguel,Poiares Pessoa Maduro,Poiares Pessoa Maduro,Poiares Pessoa Maduro,Poiares Pessoa Maduro,11,Portugal,PT,1967,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,2003-10-07,2009-10-06,,,,,,,2003-10-07,2009-10-06
João Sant'Anna,João,Sant'Anna,Sant'Anna,Sant'Anna,Sant'Anna,11,Portugal,PT,1957,2,Male,0,0,0,1,0,0,0,0,Former CST judge,1,0,2016-04-13,2016-08-31,,,,,2016-04-13,2016-08-31,,
Alfredo Calot Escobar,Alfredo,Calot Escobar,Calot Escobar,Calot Escobar,Calot Escobar,12,Spain,ES,1961,2,Male,0,0,0,0,0,1,0,0,Current CJ registrar,1,0,2010-10-06,Present,,,,,,,,
Leopoldo Calvo-Sotelo Ibáñez-Martín,Leopoldo,Calvo-Sotelo Ibáñez-Martín,Calvo-Sotelo Ibanez-Martin,Calvo-Sotelo Ibáñez-Martín,Calvo-Sotelo Ibanez-Martin,12,Spain,ES,1957,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,2016-04-13,2019-09-26,,,2016-04-13,2019-09-26,,,,
Manuel Campos Sánchez-Bordona,Manuel,Campos Sánchez-Bordona,Campos Sanchez-Bordona,Campos Sánchez-Bordona,Campos Sanchez-Bordona,12,Spain,ES,1950,2,Male,0,0,0,0,1,0,0,0,Current AG,1,0,2015-10-07,Present,,,,,,,2015-10-07,Present
Pedro Cruz Villalón,Pedro,Cruz Villalón,Cruz Villalon,Cruz Villalón,Cruz Villalon,12,Spain,ES,1946,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,2009-12-14,2015-10-07,,,,,,,2009-12-14,2015-10-07
Manuel Diez de Velasco,Manuel,Diez de Velasco,Diez de Velasco,Diez de Velasco,Diez de Velasco,12,Spain,ES,1926,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1988-10-07,1994-10-06,1988-10-07,1994-10-06,,,,,,
Rafael García-Valdecasas y Fernández,Rafael,García-Valdecasas y Fernández,Garcia-Valdecasas y Fernandez,García-Valdecasas y Fernández,Garcia-Valdecasas y Fernandez,12,Spain,ES,1946,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,1989-09-01,2007-08-31,,,1989-09-01,2007-08-31,,,,
Maria Lourdes Arastey Sahún,Maria,Lourdes Arastey Sahún,Lourdes Arastey Sahun,Lourdes Arastey Sahún,Lourdes Arastey Sahun,12,Spain,ES,1959,1,Female,1,1,0,0,0,0,0,0,Current CJ judge,1,0,2021-10-07,Present,2021-10-07,Present,,,,,,
José Martín y Pérez de Nanclares,José,Martín y Pérez de Nanclares,Martin y Perez de Nanclares,Martín y Pérez de Nanclares,Martin y Perez de Nanclares,12,Spain,ES,1965,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2019-09-26,Present,,,2019-09-26,Present,,,,
Gil Carlos Rodrìguez Iglesias,Gil Carlos,Rodrìguez Iglesias,Rodriguez Iglesias,Rodrìguez Iglesias,Rodriguez Iglesias,12,Spain,ES,1946,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1986-01-01,2003-10-06,1986-01-01,2003-10-06,,,,,,
Maria Isabel Rofes i Pujol,Maria Isabel,Rofes i Pujol,Rofes i Pujol,Rofes i Pujol,Rofes i Pujol,12,Spain,ES,1956,1,Female,1,0,0,1,0,0,0,0,Former CST judge,1,0,2009-10-07,2016-04-13,,,,,2009-10-07,2016-04-13,,
Dámaso Ruiz-Jarabo Colomer,Dámaso,Ruiz-Jarabo Colomer,Ruiz-Jarabo Colomer,Ruiz-Jarabo Colomer,Ruiz-Jarabo Colomer,12,Spain,ES,1949,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,1995-01-19,2009-11-12,,,,,,,1995-01-19,2009-11-12
Miguel Sampol Pucurull,Miguel,Sampol Pucurull,Sampol Pucurull,Sampol Pucurull,Sampol Pucurull,12,Spain,ES,1974,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2019-09-26,Present,,,2019-09-26,Present,,,,
Rosario Silva de Lapuerta,Rosario,Silva de Lapuerta,Silva de Lapuerta,Silva de Lapuerta,Silva de Lapuerta,12,Spain,ES,1954,1,Female,1,1,0,0,0,0,0,0,Former CJ judge,1,0,2003-10-07,2021-10-07,2003-10-07,2021-10-07,,,,,,
Santiago Soldevila Fragoso,Santiago,Soldevila Fragoso,Soldevila Fragoso,Soldevila Fragoso,Soldevila Fragoso,12,Spain,ES,1960,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,2007-09-01,2013-08-31,,,2007-09-01,2013-08-31,,,,
Ignacio Ulloa Rubio,Ignacio,Ulloa Rubio,Ulloa Rubio,Ulloa Rubio,Ulloa Rubio,12,Spain,ES,1967,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,2013-09-01,2019-09-26,,,2013-09-01,2019-09-26,,,,
Josef Azizi,Josef,Azizi,Azizi,Azizi,Azizi,13,Austria,AT,1948,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,1995-01-01,2013-09-01,,,1995-01-01,2013-09-01,,,,
Maria Berger,Maria,Berger,Berger,Berger,Berger,13,Austria,AT,1956,1,Female,1,1,0,0,0,0,0,0,Former CJ judge,1,0,2009-10-07,2019-03-20,2009-10-07,2019-03-20,,,,,,
Gerhard Hesse,Gerhard,Hesse,Hesse,Hesse,Hesse,13,Austria,AT,1970,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2019-09-26,Present,,,2019-09-26,Present,,,,
Peter Jann,Peter,Jann,Jann,Jann,Jann,13,Austria,AT,1935,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1995-01-01,2009-10-06,1995-01-01,2009-10-06,,,,,,
Viktor Kreuschitz,Viktor,Kreuschitz,Kreuschitz,Kreuschitz,Kreuschitz,13,Austria,AT,1952,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2013-09-01,Present,,,2013-09-01,Present,,,,
Andreas Kumin,Andreas,Kumin,Kumin,Kumin,Kumin,13,Austria,AT,1965,2,Male,0,1,0,0,0,0,0,0,Current CJ judge,1,0,2019-03-20,Present,2019-03-20,Present,,,,,,
Christine Stix-Hackl,Christine,Stix-Hackl,Stix-Hackl,Stix-Hackl,Stix-Hackl,13,Austria,AT,1957,1,Female,1,0,0,0,1,0,0,0,Former AG,1,0,2000-10-07,2006-10-06,,,,,,,2000-10-07,2006-10-06
Niilo Jääskinen,Niilo,Jääskinen,Jaaskinen,Jääskinen,Jaaskinen,14,Finland,FI,1958,2,Male,0,1,0,0,1,0,0,0,Current CJ judge; Former AG,2,1,2009-10-07,Present,2019-10-07,Present,,,,,2009-10-07,2015-10-07
Heikki Kanninen,Heikki,Kanninen,Kanninen,Kanninen,Kanninen,14,Finland,FI,1952,2,Male,0,0,1,1,0,0,0,0,Current GC judge; Former CST judge,2,0,2005-10-06,Present,,,2009-09-01,Present,2005-10-06,2009-10-06,,
Tuula Riitta Pynnä,Tuula Riitta,Pynnä,Pynna,Pynnä,Pynna,14,Finland,FI,1958,1,Female,1,0,1,0,0,0,0,0,Current GC judge,1,0,2019-09-26,Present,,,2019-09-26,Present,,,,
Allan Rosas,Allan,Rosas,Rosas,Rosas,Rosas,14,Finland,FI,1948,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,2002-01-17,2019-10-07,2002-01-17,2019-10-07,,,,,,
Leif Sevón,Leif,Sevón,Sevon,Sevón,Sevon,14,Finland,FI,1941,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1995-01-01,2002-01-16,1995-01-01,2002-01-16,,,,,,
Virpi Tiili,Virpi,Tiili,Tiili,Tiili,Tiili,14,Finland,FI,1942,1,Female,1,0,1,0,0,0,0,0,Former GC judge,1,0,1995-01-01,2009-09-01,,,1995-01-01,2009-09-01,,,,
Carl Gustav Fernlund,Carl Gustav,Fernlund,Fernlund,Fernlund,Fernlund,15,Sweden,SE,1950,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,2011-10-06,2019-10-07,2011-10-06,2019-10-07,,,,,,
Pernilla Lindh,Pernilla,Lindh,Lindh,Lindh,Lindh,15,Sweden,SE,1945,1,Female,1,1,1,0,0,0,0,0,Former CJ judge; Former GC judge,2,0,1995-01-18,2011-10-06,2006-10-07,2011-10-06,1995-01-18,2006-10-06,,,,
Ulf Christophe Öberg,Ulf Christophe,Öberg,Oberg,Öberg,Oberg,15,Sweden,SE,1966,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2016-09-19,Present,,,2016-09-19,Present,,,,
Hans Ragnemalm,Hans,Ragnemalm,Ragnemalm,Ragnemalm,Ragnemalm,15,Sweden,SE,1940,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1995-01-01,2000-10-06,1995-01-01,2000-10-06,,,,,,
Fredrik Schalin,Fredrik,Schalin,Schalin,Schalin,Schalin,15,Sweden,SE,1964,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2016-06-08,Present,,,2016-06-08,Present,,,,
Stig von Bahr,Stig,von Bahr,von Bahr,von Bahr,von Bahr,15,Sweden,SE,1939,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,2000-10-08,2006-10-06,2000-10-08,2006-10-06,,,,,,
Nils Wahl,Nils,Wahl,Wahl,Wahl,Wahl,15,Sweden,SE,1961,2,Male,0,1,1,0,1,0,0,0,Current CJ judge; Former GC judge; Former AG,3,1,2006-10-06,Present,2019-10-07,Present,2006-10-06,2012-11-28,,,2012-11-28,2019-02-06
Carl Wetter,Carl,Wetter,Wetter,Wetter,Wetter,15,Sweden,SE,1949,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,2013-03-18,2016-09-19,,,2013-03-18,2016-09-19,,,,
George Arestis,George,Arestis,Arestis,Arestis,Arestis,16,Cyprus,CY,1945,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,2004-05-01,2014-10-06,2004-05-01,2014-10-06,,,,,,
Nicholas Emiliou,Nicholas,Emiliou,Emiliou,Emiliou,Emiliou,16,Cyprus,CY,1963,2,Male,0,0,0,0,1,0,0,0,Current AG,1,0,2021-10-07,Present,,,,,,,2021-10-07,Present
Constantinos Lycourgos,Constantinos,Lycourgos,Lycourgos,Lycourgos,Lycourgos,16,Cyprus,CY,1964,2,Male,0,1,0,0,0,0,0,0,Current CJ judge,1,0,2014-10-07,Present,2014-10-07,Present,,,,,,
Anna Marcoulli,Anna,Marcoulli,Marcoulli,Marcoulli,Marcoulli,16,Cyprus,CY,1978,1,Female,1,0,1,0,0,0,0,0,Current GC judge,1,0,2016-04-13,Present,,,2016-04-13,Present,,,,
Savvas Papasavvas,Savvas,Papasavvas,Papasavvas,Papasavvas,Papasavvas,16,Cyprus,CY,1969,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2004-05-01,Present,,,2004-05-01,Present,,,,
Michal Bobek,Michal,Bobek,Bobek,Bobek,Bobek,17,Czech Republic,CZ,1977,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,2015-10-07,2021-10-07,,,,,,,2015-10-07,2021-10-07
Jiří Malenovský,Jiří,Malenovský,Malenovsky,Malenovský,Malenovsky,17,Czech Republic,CZ,1950,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,2004-05-01,2020-10-06,2004-05-01,2020-10-06,,,,,,
Jan Passer,Jan,Passer,Passer,Passer,Passer,17,Czech Republic,CZ,1974,2,Male,0,1,1,0,0,0,0,0,Current CJ judge; Former GC judge,2,0,2016-09-19,Present,2020-10-06,Present,2016-09-19,2020-10-06,,,,
Irena Pelikánová,Irena,Pelikánová,Pelikanova,Pelikánová,Pelikanova,17,Czech Republic,CZ,1949,1,Female,1,0,1,0,0,0,0,0,Former GC judge,1,0,2004-05-01,2019-09-26,,,2004-05-01,2019-09-26,,,,
David Petrlík,David,Petrlík,Petrlik,Petrlík,Petrlik,17,Czech Republic,CZ,1978,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2021-03-01,Present,,,2021-03-01,Present,,,,
Petra Škvařilová-Pelzl,Petra,Škvařilová-Pelzl,Skvarilova-Pelzl,Škvařilová-Pelzl,Skvarilova-Pelzl,17,Czech Republic,CZ,1975,1,Female,1,0,1,0,0,0,0,0,Current GC judge,1,0,2019-09-26,Present,,,2019-09-26,Present,,,,
Küllike Jürimäe,Küllike,Jürimäe,Jurimae,Jürimäe,Jurimae,18,Estonia,EE,1962,1,Female,1,1,1,0,0,0,0,0,Current CJ judge; Former GC judge,2,0,2004-05-12,Present,2013-10-23,Present,2004-05-12,2013-10-23,,,,
Uno Lõhmus,Uno,Lõhmus,Lohmus,Lõhmus,Lohmus,18,Estonia,EE,1952,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,2004-05-01,2013-10-06,2004-05-01,2013-10-06,,,,,,
Lauri Madise,Lauri,Madise,Madise,Madise,Madise,18,Estonia,EE,1974,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2013-10-06,Present,,,2013-10-06,Present,,,,
Iko Nõmm,Iko,Nõmm,Nomm,Nõmm,Nomm,18,Estonia,EE,1977,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2019-09-26,Present,,,2019-09-26,Present,,,,
Priit Pikamäe,Priit,Pikamäe,Pikamae,Pikamäe,Pikamae,18,Estonia,EE,1973,2,Male,0,0,0,0,1,0,0,0,Current AG,1,0,2019-02-06,Present,,,,,,,2019-02-06,Present
Barna Berke,Barna,Berke,Berke,Berke,Berke,19,Hungary,HU,1966,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,2016-09-19,2021-08-01,,,2016-09-19,2021-08-01,,,,
Zoltán Csehi,Zoltán,Csehi,Csehi,Csehi,Csehi,19,Hungary,HU,1965,2,Male,0,1,1,0,0,0,0,0,Current CJ judge; Former GC judge,2,0,2016-04-13,Present,2021-10-07,Present,2016-04-13,2021-10-07,,,,
Ottó Czúcz,Ottó,Czúcz,Czucz,Czúcz,Czucz,19,Hungary,HU,1946,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,2004-05-01,2016-08-31,,,2004-05-01,2016-08-31,,,,
Endre Juhász,Endre,Juhász,Juhasz,Juhász,Juhasz,19,Hungary,HU,1944,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,2004-05-11,2021-10-07,2004-05-11,2021-10-07,,,,,,
Krisztián Attila Kecsmár,Krisztián Attila,Kecsmár,Kecsmar,Kecsmár,Kecsmar,19,Hungary,HU,1975,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2021-10-27,Present,,,2021-10-27,Present,,,,
Ingrida Labucka,Ingrida,Labucka,Labucka,Labucka,Labucka,20,Latvia,LV,1963,1,Female,1,0,1,0,0,0,0,0,Former GC judge,1,0,2004-05-01,2020-02-25,,,2004-05-01,2020-02-25,,,,
Egils Levits,Egils,Levits,Levits,Levits,Levits,20,Latvia,LV,1955,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,2004-05-01,2019-06-17,2004-05-01,2019-06-17,,,,,,
Laila Medina,Laila,Medina,Medina,Medina,Medina,20,Latvia,LV,1971,1,Female,1,0,0,0,1,0,0,0,Current AG,1,0,2021-10-07,Present,,,,,,,2021-10-07,Present
Inga Reine,Inga,Reine,Reine,Reine,Reine,20,Latvia,LV,1975,1,Female,1,0,1,0,0,0,0,0,Current GC judge,1,0,2016-06-08,Present,,,2016-06-08,Present,,,,
Ineta Ziemele,Ineta,Ziemele,Ziemele,Ziemele,Ziemele,20,Latvia,LV,1970,1,Female,1,1,0,0,0,0,0,0,Current CJ judge,1,0,2020-10-06,Present,2020-10-06,Present,,,,,,
Pēteris Zilgalvis,Pēteris,Zilgalvis,Zilgalvis,Zilgalvis,Zilgalvis,20,Latvia,LV,1964,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2021-09-27,Present,,,2021-09-27,Present,,,,
