"key_id","judge_id","full_name","first_name","last_name","last_name_latin","last_name_label","last_name_latin_label","member_state_id","member_state","member_state_code","birth_year","gender_id","gender","female","judge_court_of_justice","judge_general_court","judge_civil_service_tribunal","advocate_general","current_status","current_member","count_positions","nonconsecutive_positions","start_date","end_date","start_date_court_of_justice","end_date_court_of_justice","start_date_general_court","end_date_general_court","start_date_civil_service_tribunal","end_date_civil_service_tribunal","start_date_advocate_general","end_date_advocate_general"
236,"J:2405","Miroslav Gavalec","Miroslav","Gavalec","Gavalec","Gavalec","Gavalec",24,"Slovakia","SK",1961,2,"Male",0,1,0,0,0,"Current CJ judge",1,1,0,2021-10-07,NA,2021-10-07,NA,NA,NA,NA,NA,NA,NA
237,"J:2501","Marko Ilešič","Marko","Ilešič","Ilesic","Ilešič","Ilesic",25,"Slovenia","SI",1947,2,"Male",0,1,0,0,0,"Current CJ judge",1,1,0,2004-05-01,NA,2004-05-01,NA,NA,NA,NA,NA,NA,NA
238,"J:2502","Verica Trstenjak","Verica","Trstenjak","Trstenjak","Trstenjak","Trstenjak",25,"Slovenia","SI",1962,2,"Male",0,0,1,0,1,"Former GC judge; Former AG",0,2,0,2004-07-01,2012-11-28,NA,NA,2004-07-01,2006-10-06,NA,NA,2006-10-07,2012-11-28
239,"J:2503","Miro Prek","Miro","Prek","Prek","Prek","Prek",25,"Slovenia","SI",1956,2,"Male",0,0,1,0,0,"Former GC judge",0,1,0,2006-10-06,2019-09-26,NA,NA,2006-10-06,2019-09-26,NA,NA,NA,NA
240,"J:2504","Maja Brkan","Maja","Brkan","Brkan","Brkan","Brkan",25,"Slovenia","SI",1979,1,"Female",1,0,1,0,0,"Current GC judge",1,1,0,2021-07-06,NA,NA,NA,2021-07-06,NA,NA,NA,NA,NA
241,"J:2601","Alexander Arabadjiev","Alexander","Arabadjiev","Arabadjiev","Arabadjiev","Arabadjiev",26,"Bulgaria","BG",1949,2,"Male",0,1,0,0,0,"Current CJ judge",1,1,0,2007-01-01,NA,2007-01-01,NA,NA,NA,NA,NA,NA,NA
242,"J:2602","Teodor Tchipev","Teodor","Tchipev","Tchipev","Tchipev","Tchipev",26,"Bulgaria","BG",1940,2,"Male",0,0,1,0,0,"Former GC judge",0,1,0,2007-09-01,2011-09-12,NA,NA,2007-09-01,2011-09-12,NA,NA,NA,NA
243,"J:2603","Mariyana Kancheva","Mariyana","Kancheva","Kancheva","Kancheva","Kancheva",26,"Bulgaria","BG",1958,1,"Female",1,0,1,0,0,"Current GC judge",1,1,0,2011-09-12,NA,NA,NA,2011-09-12,NA,NA,NA,NA,NA
244,"J:2604","Alexander Kornezov","Alexander","Kornezov","Kornezov","Kornezov","Kornezov",26,"Bulgaria","BG",1978,2,"Male",0,0,1,1,0,"Current GC judge; Former CST judge",1,2,0,2016-04-13,NA,NA,NA,2016-09-01,NA,2016-04-13,2016-08-31,NA,NA
245,"J:2605","Evgeni Tanchev","Evgeni","Tanchev","Tanchev","Tanchev","Tanchev",26,"Bulgaria","BG",1952,2,"Male",0,0,0,0,1,"Former AG",0,1,0,2016-09-19,2021-10-07,NA,NA,NA,NA,NA,NA,2016-09-19,2021-10-07
246,"J:2701","Valeriu Ciucă","Valeriu","Ciucă","Ciuca","Ciucă","Ciuca",27,"Romania","RO",1960,2,"Male",0,0,1,0,0,"Former GC judge",0,1,0,2007-01-01,2010-11-26,NA,NA,2007-01-01,2010-11-26,NA,NA,NA,NA
247,"J:2702","Camelia Toader","Camelia","Toader","Toader","Toader","Toader",27,"Romania","RO",1963,1,"Female",1,1,0,0,0,"Former CJ judge",0,1,0,2007-01-12,2021-10-07,2007-01-12,2021-10-07,NA,NA,NA,NA,NA,NA
248,"J:2703","Andrei Popescu","Andrei","Popescu","Popescu","Popescu","Popescu",27,"Romania","RO",1948,2,"Male",0,0,1,0,0,"Former GC judge",0,1,0,2010-11-26,2016-08-31,NA,NA,2010-11-26,2016-08-31,NA,NA,NA,NA
249,"J:2704","Octavia Spineanu-Matei","Octavia","Spineanu-Matei","Spineanu-Matei","Spineanu-Matei","Spineanu-Matei",27,"Romania","RO",1967,1,"Female",1,1,1,0,0,"Current CJ judge; Former GC judge",1,2,0,2016-09-19,NA,2021-10-07,NA,2016-09-19,2021-10-07,NA,NA,NA,NA
250,"J:2705","Mirela Stancu","Mirela","Stancu","Stancu","Stancu","Stancu",27,"Romania","RO",1974,1,"Female",1,0,1,0,0,"Current GC judge",1,1,0,2019-09-01,NA,NA,NA,2019-09-01,NA,NA,NA,NA,NA
251,"J:2801","Siniša Rodin","Siniša","Rodin","Rodin","Rodin","Rodin",28,"Croatia","HR",1965,2,"Male",0,1,0,0,0,"Current CJ judge",1,1,0,2013-07-01,NA,2013-07-01,NA,NA,NA,NA,NA,NA,NA
252,"J:2802","Vesna Tomljenović","Vesna","Tomljenović","Tomljenovic","Tomljenović","Tomljenovic",28,"Croatia","HR",1956,1,"Female",1,0,1,0,0,"Current GC judge",1,1,0,2013-07-01,NA,NA,NA,2013-07-01,NA,NA,NA,NA,NA
253,"J:2803","Tamara Perišin","Tamara","Perišin","Perisin","Perišin","Perisin",28,"Croatia","HR",1979,1,"Female",1,0,1,0,0,"Current GC judge",1,1,0,2019-09-26,NA,NA,NA,2019-09-26,NA,NA,NA,NA,NA
254,"J:2804","Tamara Ćapeta","Tamara","Ćapeta","Capeta","Ćapeta","Capeta",28,"Croatia","HR",1967,1,"Female",1,0,0,0,1,"Current AG",1,1,0,2021-10-07,NA,NA,NA,NA,NA,NA,NA,2021-10-07,NA
